case_id,summary,offense,ipc_section,detention,expected_sentence,age,gender,priority_label,undertrial_flag
C00001,"Physical assault case, undertrial for 6 months",assault,IPC 351,6,24,43,Male,low,no
C00002,"Robbery case, undertrial for 14 months",robbery,IPC 392,14,36,23,Male,low,no
C00003,"Robbery case, detained for 11 months",robbery,IPC 392,11,36,38,Male,low,no
C00004,"Robbery case, undertrial for 17 months",robbery,IPC 392,17,36,35,Female,low,no
C00005,"Physical assault case, in custody for 30 months",assault,IPC 351,30,24,52,Female,high,yes
C00006,"Physical assault case, detained for 6 months",assault,IPC 351,6,24,59,Female,low,no
C00007,"Financial fraud case, undertrial for 26 months",fraud,IPC 420,26,12,34,Male,high,yes
C00008,"Physical assault case, undertrial for 9 months",assault,IPC 351,9,24,42,Male,low,no
C00009,"Physical assault case, undertrial for 29 months",assault,IPC 351,29,24,19,Male,high,yes
C00010,"Robbery case, undertrial for 11 months",robbery,IPC 392,11,36,29,Male,low,no
C00011,"Financial fraud case, detained for 27 months",fraud,IPC 420,27,12,53,Female,high,yes
C00012,"Minor theft case, in custody for 14 months",theft,IPC 379,14,6,65,Female,high,yes
C00013,"Minor theft case, in custody for 4 months",theft,IPC 379,4,6,27,Female,medium,no
C00014,"Physical assault case, undertrial for 29 months",assault,IPC 351,29,24,41,Female,high,yes
C00015,"Robbery case, detained for 26 months",robbery,IPC 392,26,36,39,Female,medium,no
C00016,"Financial fraud case, in custody for 25 months",fraud,IPC 420,25,12,70,Female,high,yes
C00017,"Robbery case, undertrial for 17 months",robbery,IPC 392,17,36,29,Female,low,no
C00018,"Physical assault case, in custody for 6 months",assault,IPC 351,6,24,42,Male,low,no
C00019,"Robbery case, in custody for 36 months",robbery,IPC 392,36,36,48,Female,medium,no
C00020,"Minor theft case, in custody for 22 months",theft,IPC 379,22,6,19,Female,high,yes
C00021,"Robbery case, in custody for 15 months",robbery,IPC 392,15,36,50,Male,low,no
C00022,"Robbery case, undertrial for 17 months",robbery,IPC 392,17,36,48,Male,low,no
C00023,"Physical assault case, undertrial for 2 months",assault,IPC 351,2,24,46,Male,low,no
C00024,"Financial fraud case, detained for 23 months",fraud,IPC 420,23,12,18,Male,high,yes
C00025,"Financial fraud case, detained for 24 months",fraud,IPC 420,24,12,68,Male,high,yes
C00026,"Robbery case, detained for 28 months",robbery,IPC 392,28,36,54,Female,medium,no
C00027,"Minor theft case, detained for 36 months",theft,IPC 379,36,6,70,Female,high,yes
C00028,"Robbery case, undertrial for 22 months",robbery,IPC 392,22,36,59,Male,medium,no
C00029,"Minor theft case, detained for 6 months",theft,IPC 379,6,6,37,Male,medium,no
C00030,"Physical assault case, detained for 19 months",assault,IPC 351,19,24,39,Male,medium,no
C00031,"Robbery case, undertrial for 25 months",robbery,IPC 392,25,36,26,Male,medium,no
C00032,"Financial fraud case, detained for 20 months",fraud,IPC 420,20,12,34,Female,high,yes
C00033,"Robbery case, detained for 14 months",robbery,IPC 392,14,36,69,Male,low,no
C00034,"Physical assault case, in custody for 4 months",assault,IPC 351,4,24,57,Female,low,no
C00035,"Robbery case, in custody for 12 months",robbery,IPC 392,12,36,24,Male,low,no
C00036,"Robbery case, in custody for 34 months",robbery,IPC 392,34,36,42,Female,medium,no
C00037,"Physical assault case, undertrial for 34 months",assault,IPC 351,34,24,53,Male,high,yes
C00038,"Minor theft case, undertrial for 7 months",theft,IPC 379,7,6,59,Female,high,yes
C00039,"Financial fraud case, in custody for 21 months",fraud,IPC 420,21,12,30,Male,high,yes
C00040,"Minor theft case, detained for 5 months",theft,IPC 379,5,6,26,Male,medium,no
